project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
2985,FINANCIALLY COMPLETED,AD,35828.00,35838.00,,36707.00,  0.960 ,  0.931 ,  0.029 ,1
2986,FINANCIALLY COMPLETED,PP,35835.00,35968.00,36280.00,37710.00,  1.000 ,  0.954 ,  0.046 ,
2987,FINANCIALLY COMPLETED,AD,35835.00,35878.00,,36829.00,  0.400 ,  0.175 ,  0.225 ,1
2988,FINANCIALLY COMPLETED,AD,35838.00,35897.00,,37621.00,  0.950 ,  0.239 ,  0.711 ,1
2989,FINANCIALLY COMPLETED,AD,35845.00,35941.00,36616.00,37986.00,  0.950 ,  0.893 ,  0.057 ,1
2990,FINANCIALLY COMPLETED,AD,35849.00,35849.00,,36068.00,  0.150 ,  0.080 ,  0.070 ,
2991,FINANCIALLY COMPLETED,PP,35850.00,35850.00,,36799.00,  0.150 ,  0.142 ,  0.008 ,
2992,FINANCIALLY COMPLETED,AD,35860.00,35860.00,,36433.00,  0.065 ,  0.025 ,  0.040 ,
2993,FINANCIALLY COMPLETED,AD,35864.00,35864.00,,36738.00,  0.150 ,  0.013 ,  0.137 ,
2994,FINANCIALLY COMPLETED,AD,35864.00,35864.00,,36433.00,  0.130 ,  0.068 ,  0.062 ,
2995,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36891.00,  0.692 ,  0.688 ,  0.004 ,1
2996,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36891.00,  0.480 ,  0.477 ,  0.003 ,1
2997,FINANCIALLY COMPLETED,AD,35866.00,35919.00,,36525.00,  0.572 ,  0.454 ,  0.118 ,1
2998,FINANCIALLY COMPLETED,AD,35870.00,35914.00,,36769.00,  0.800 ,  0.789 ,  0.011 ,1
2999,FINANCIALLY COMPLETED,AD,35874.00,35929.00,,36799.00,  1.000 ,  0.786 ,  0.214 ,1
3000,FINANCIALLY COMPLETED,AD,35877.00,35881.00,36464.00,37621.00,  0.630 ,  0.455 ,  0.175 ,1
3001,FINANCIALLY COMPLETED,PP,35880.00,36013.00,37011.00,37529.00,  0.248 ,  0.244 ,  0.004 ,
3002,FINANCIALLY COMPLETED,AD,35880.00,35880.00,,36160.00,  0.165 ,  0.156 ,  0.009 ,
3003,FINANCIALLY COMPLETED,AD,35886.00,35886.00,,36250.00,  0.150 ,  0.138 ,  0.012 ,
3004,FINANCIALLY COMPLETED,AD,35888.00,35951.00,,37103.00,  1.000 ,  0.928 ,  0.072 ,1
3005,FINANCIALLY COMPLETED,PP,35899.00,35899.00,,36250.00,  0.150 ,  0.082 ,  0.068 ,
3006,FINANCIALLY COMPLETED,AD,35900.00,35921.00,,36341.00,  0.260 ,  0.255 ,  0.005 ,1
3007,FINANCIALLY COMPLETED,PP,35901.00,35901.00,,37195.00,  0.149 ,  0.148 ,  0.001 ,
3008,FINANCIALLY COMPLETED,AD,35902.00,35930.00,,36981.00,  0.900 ,  0.897 ,  0.003 ,1
3009,FINANCIALLY COMPLETED,PP,35905.00,35905.00,,36219.00,  0.150 ,  0.133 ,  0.017 ,
3010,FINANCIALLY COMPLETED,AD,35905.00,35905.00,,36280.00,  0.150 ,  0.126 ,  0.024 ,
3011,FINANCIALLY COMPLETED,AD,35920.00,35920.00,,36160.00,  0.115 ,  0.070 ,  0.045 ,
3012,FINANCIALLY COMPLETED,AD,35920.00,35920.00,,35976.00,  0.050 ,  0.028 ,  0.022 ,
3013,FINANCIALLY COMPLETED,AD,35920.00,35976.00,,37072.00,  0.605 ,  0.537 ,  0.068 ,1
3014,FINANCIALLY COMPLETED,AD,35922.00,36034.00,,36707.00,  0.530 ,  0.471 ,  0.059 ,1
3015,FINANCIALLY COMPLETED,AD,35922.00,35984.00,36068.00,37652.00,  0.995 ,  0.886 ,  0.109 ,1
3016,CANCELLED,PP,35922.00,,,36250.00,  0.900 ,  -   ,  0.900 ,
3017,FINANCIALLY COMPLETED,PP,35927.00,35941.00,,36769.00,  0.900 ,  0.827 ,  0.073 ,
3018,FINANCIALLY COMPLETED,PP,35928.00,35928.00,,36891.00,  0.150 ,  0.048 ,  0.102 ,
3019,FINANCIALLY COMPLETED,AD,35935.00,35998.00,,37256.00,  0.570 ,  0.115 ,  0.455 ,1
3020,FINANCIALLY COMPLETED,AD,35942.00,35942.00,,36830.00,  0.075 ,  0.044 ,  0.031 ,
3021,FINANCIALLY COMPLETED,PP,35942.00,36025.00,,37256.00,  0.975 ,  0.963 ,  0.012 ,
3022,FINANCIALLY COMPLETED,AD,35948.00,35969.00,,36784.00,  0.500 ,  0.495 ,  0.005 ,1
3023,FINANCIALLY COMPLETED,AD,35943.00,35996.00,,37621.00,  0.995 ,  0.509 ,  0.486 ,1
3024,FINANCIALLY COMPLETED,AD,35948.00,36012.00,37483.00,37483.00,  3.345 ,  3.286 ,  0.059 ,1
3025,FINANCIALLY COMPLETED,PP,35950.00,35968.00,,36464.00,  0.965 ,  0.953 ,  0.012 ,
3026,FINANCIALLY COMPLETED,AD,35950.00,35970.00,,37164.00,  1.694 ,  1.605 ,  0.088 ,1
3027,FINANCIALLY COMPLETED,AD,35954.00,36087.00,,36646.00,  0.938 ,  0.377 ,  0.561 ,1
3028,FINANCIALLY COMPLETED,AD,35955.00,36060.00,,36707.00,  0.500 ,  0.112 ,  0.388 ,1
3029,FINANCIALLY COMPLETED,AD,35956.00,35985.00,,36219.00,  0.450 ,  0.423 ,  0.027 ,1
3030,FINANCIALLY COMPLETED,PP,35957.00,35971.00,,37802.00,  1.500 ,  1.432 ,  0.068 ,
3031,FINANCIALLY COMPLETED,AD,35969.00,36094.00,,36707.00,  0.550 ,  0.320 ,  0.230 ,1
