Country or Area,Year,Value,
Afghanistan,2013,20309671015,
Afghanistan,2012,20506795254,
Afghanistan,2011,17870159082,
Afghanistan,2010,15936784437,
Afghanistan,2009,12486950468,
Afghanistan,2008,10190534637,
Afghanistan,2007,9843851009,
Afghanistan,2006,7057597614,
Afghanistan,2005,6275076016,
Afghanistan,2004,5285461999,
Afghanistan,2003,4583648922,
Afghanistan,2002,4128818042,
Afghanistan,2001,2461666315,
Afghanistan,1981,3478787910,
Afghanistan,1980,3641723447,
Afghanistan,1979,3697940345,
Afghanistan,1978,3300000108,
Afghanistan,1977,2953333419,
Afghanistan,1976,2555555567,
Afghanistan,1975,2366666615,
Afghanistan,1974,2155555499,
Afghanistan,1973,1733333265,
Afghanistan,1972,1595555476,
Afghanistan,1971,1831108972,
Afghanistan,1970,1748886596,
Afghanistan,1969,1408888923,
Afghanistan,1968,1373333367,
Afghanistan,1967,1673333419,
Afghanistan,1966,1399999966,
Afghanistan,1965,1006666638,
Afghanistan,1964,800000045.5,
Afghanistan,1963,751111190.8,
Afghanistan,1962,546666678,
Afghanistan,1961,548888894.6,
Afghanistan,1960,537777811.9,
Albania,2013,12923240278,
Albania,2012,12344529628,
Albania,2011,12890866743,
Albania,2010,11926957255,
Albania,2009,12044208086,
Albania,2008,12881353508,
Albania,2007,10701011524,
Albania,2006,9132558097,
Albania,2005,8376483394,
Albania,2004,7464446950,
Albania,2003,5652325082,
Albania,2002,4449373455,
Albania,2001,4091020249,
Albania,2000,3686649387,
Albania,1999,3434402453,
Albania,1998,2727745453,
Albania,1997,2196223714,
Albania,1996,3013217853,
Albania,1995,2424498953,
Albania,1994,1985673026,
Albania,1993,1228071038,
Albania,1992,709452572.3,
Albania,1991,1139166676,
Albania,1990,2101624963,
Albania,1989,2335124988,
Albania,1988,2126000000,
Albania,1987,2156624900,
Albania,1986,2173750013,
Albania,1985,1965384586,
Albania,1984,1924242453,
Algeria,2013,2.10E+11,
Algeria,2012,2.04E+11,
Algeria,2011,1.99E+11,
Algeria,2010,1.61E+11,
Algeria,2009,1.37E+11,
Algeria,2008,1.71E+11,
Algeria,2007,1.35E+11,
Algeria,2006,1.17E+11,
Algeria,2005,1.03E+11,
